year,dmi_noenso_ann
1950,-0.08254463444081361
1951,-0.038596651118831385
1952,-0.1948975252952243
1953,-0.0788538987728512
1954,-0.2538355716554699
1955,-0.031432808528037315
1956,-0.2963102253843936
1957,-0.5704112940663025
1958,-0.8071165719083894
1959,-0.47528697665222847
1960,-0.5019544635880258
1961,0.6630176824674215
1962,0.05670472692429612
1963,0.27100601123525436
1964,-0.39352302624690966
1965,-0.2801910170494416
1966,0.11415859272844658
1967,0.492739236754063
1968,-0.5192570720348492
1969,-0.18039798229587423
1970,-0.06963024694729852
1971,-0.07828902732505505
1972,0.12436423383901402
1973,0.06761706374498466
1974,-0.379940741683032
1975,-0.24780106182570288
1976,-0.26682317388634125
1977,-0.01276039997745626
1978,-0.2635417634988565
1979,-0.24508666729101009
1980,-0.40982604482829843
1981,-0.43893162499042593
1982,-0.07076837999853569
1983,0.07941378970963989
1984,-0.14349517230235692
1985,0.10378245314187079
1986,-0.19702184270929846
1987,0.1404037590157339
1988,0.1771133256678123
1989,-0.09416685431597666
1990,-0.054513499419738404
1991,-0.1002762194213612
1992,-0.41691831321999756
1993,-0.008634031890555505
1994,0.4576518899771477
1995,0.0363144552981613
1996,-0.561926609643473
1997,0.38914723789867545
1998,-0.26643075785521064
1999,0.3945746676263076
2000,0.14155552023979556
2001,-0.016990203821488636
2002,0.16785096893467022
2003,-0.10137053848588676
2004,-0.034703871819220106
2005,-0.017778633362668383
2006,0.4527653564281852
2007,0.6369998592167747
2008,0.2600455364119742
2009,-0.199169818990103
2010,0.10778040246904425
2011,0.6528743113990045
2012,0.36410288483934106
2013,0.09336555797487915
2014,-0.007447854568896193
2015,-0.08803852928841865
2016,-0.15992578937434238
2017,0.5302849608153473
2018,0.5509993553500402
2019,0.9697994561233871
2020,0.31507298022196173
2021,0.35941296944050927
2022,-0.10054381417168301
2023,0.5864419600565887
